date,price,daily_return
2018-07-09,21.2424,0.01005
2018-07-10,21.52102,0.01312
2018-07-11,21.09828,-0.01964
2018-07-12,21.30965,0.01002
2018-07-13,21.28083,-0.00135
2018-07-16,21.252,-0.00135
2018-07-17,21.05025,-0.00949
2018-07-18,21.10789,0.00274
2018-07-19,21.21357,0.00501
2018-07-20,21.09828,-0.00543
2018-07-23,20.97339,-0.00592
2018-07-24,21.17514,0.00962
2018-07-25,21.53063,0.01679
2018-07-26,21.7516,0.01026
2018-07-27,21.77081,0.00088
2018-07-30,21.42494,-0.01589
2018-07-31,21.43455,0.00045
2018-08-01,21.42494,-0.00045
2018-08-02,21.34808,-0.00359
2018-08-03,21.34808,0.0
2018-08-06,21.27122,-0.0036
2018-08-07,21.26161,-0.00045
2018-08-08,21.47298,0.00994
2018-08-09,21.59788,0.00582
2018-08-10,21.34808,-0.01157
2018-08-13,21.05985,-0.0135
2018-08-14,21.09828,0.00182
2018-08-15,20.70437,-0.01867
2018-08-16,20.84849,0.00696
2018-08-17,20.96378,0.00553
2018-08-20,21.02142,0.00275
2018-08-21,21.21357,0.00914
2018-08-22,21.41534,0.00951
2018-08-23,21.33848,-0.00359
2018-08-24,21.39612,0.0027
2018-08-27,21.78042,0.01796
2018-08-28,22.03022,0.01147
2018-08-29,22.17434,0.00654
2018-08-30,22.07826,-0.00433
2018-08-31,22.14551,0.00305
2018-09-04,21.84767,-0.01345
2018-09-05,21.54984,-0.01363
2018-09-06,21.48259,-0.00312
2018-09-07,21.19436,-0.01342
2018-09-10,21.33848,0.0068
2018-09-11,21.21357,-0.00585
2018-09-12,21.10789,-0.00498
2018-09-13,21.29043,0.00865
2018-09-14,21.77081,0.02256
2018-09-17,21.7516,-0.00088
2018-09-18,22.03982,0.01325
2018-09-19,22.11669,0.00349
2018-09-20,22.16473,0.00217
2018-09-21,22.16473,0.0
2018-09-24,22.16473,0.0
2018-09-25,22.06865,-0.00433
2018-09-26,22.011,-0.00261
2018-09-27,21.8765,-0.00611
2018-09-28,21.98218,0.00483
2018-10-01,22.19355,0.00962
2018-10-02,22.05904,-0.00606
2018-10-03,21.88611,-0.00784
2018-10-04,21.53063,-0.01624
2018-10-05,21.23279,-0.01383
2018-10-08,21.00221,-0.01086
2018-10-09,20.68516,-0.0151
2018-10-10,19.64754,-0.05016
2018-10-11,19.28245,-0.01858
2018-10-12,19.77243,0.02541
2018-10-15,19.64754,-0.00632
