date,price,daily_return,paper_count
2018-08-14,21.09828,0.00182,11
2018-08-15,20.70437,-0.01867,7
2018-08-16,20.84848,0.00696,6
2018-08-17,20.96378,0.00553,6
2018-08-20,21.02142,0.00275,8
2018-08-21,21.21358,0.00914,10
2018-08-22,21.41533,0.00951,13
2018-08-23,21.33848,-0.00359,14
2018-08-24,21.39612,0.0027,7
2018-08-27,21.78042,0.01796,13
2018-08-28,22.03022,0.01147,11
2018-08-29,22.17433,0.00654,11
2018-08-30,22.07825,-0.00433,13
2018-08-31,22.14551,0.00305,8
2018-09-04,21.84767,-0.01345,9
2018-09-05,21.54984,-0.01363,10
2018-09-06,21.48259,-0.00312,26
2018-09-07,21.19436,-0.01342,19
2018-09-10,21.33848,0.0068,21
2018-09-11,21.21358,-0.00585,15
2018-09-12,21.10789,-0.00498,19
2018-09-13,21.29043,0.00865,19
2018-09-14,21.77082,0.02256,14
2018-09-17,21.7516,-0.00088,10
2018-09-18,22.03983,0.01325,13
2018-09-19,22.11669,0.00349,19
2018-09-20,22.16472,0.00217,13
2018-09-21,22.16472,0.0,17
2018-09-24,22.16472,0.0,16
2018-09-25,22.06865,-0.00433,11
2018-09-26,22.011,-0.00261,14
2018-09-27,21.8765,-0.00611,11
2018-09-28,21.98219,0.00483,15
2018-10-01,22.19355,0.00962,14
2018-10-02,22.05904,-0.00606,11
2018-10-03,21.88611,-0.00784,19
2018-10-04,21.53062,-0.01624,8
2018-10-05,21.23279,-0.01383,12
2018-10-08,21.0022,-0.01086,13
2018-10-09,20.68516,-0.0151,19
2018-10-10,19.64754,-0.05016,14
2018-10-11,19.28245,-0.01858,13
2018-10-12,19.77244,0.02541,14
2018-10-15,19.64754,-0.00632,10
2018-10-16,20.27203,0.03178,16
2018-10-17,20.28164,0.00047,8
2018-10-18,19.6091,-0.03316,6
2018-10-19,19.40735,-0.01029,18
2018-10-22,19.49381,0.00446,22
2018-10-23,19.13834,-0.01824,20
2018-10-24,18.13914,-0.05221,16
2018-10-25,18.39855,0.0143,16
2018-10-26,18.03346,-0.01984,18
2018-10-29,17.6972,-0.01865,19
2018-10-30,18.40816,0.04017,20
2018-10-31,18.94618,0.02923,21
2018-11-01,19.15755,0.01116,17
2018-11-02,19.62832,0.02457,17
2018-11-05,19.54185,-0.00441,15
2018-11-06,19.5995,0.00295,22
2018-11-07,19.89733,0.0152,16
2018-11-08,19.54185,-0.01787,15
2018-11-09,19.16715,-0.01917,12
2018-11-12,18.73481,-0.02256,15
2018-11-13,18.81168,0.0041,25
2018-11-14,18.78285,-0.00153,18
2018-11-15,18.96539,0.00972,28
2018-11-16,18.64834,-0.01672,15
2018-11-19,18.31208,-0.01803,14
2018-11-20,17.91817,-0.02151,12
2018-11-21,18.26404,0.0193,14
2018-11-23,18.06228,-0.01105,10
2018-11-26,18.5907,0.02926,20
2018-11-27,18.47541,-0.0062,17
2018-11-28,19.07108,0.03224,21
2018-11-29,18.975,-0.00504,21
2018-11-30,18.93657,-0.00203,22
2018-12-03,19.31127,0.01979,21
2018-12-04,18.32169,-0.05124,18
2018-12-06,17.94699,-0.02045,12
2018-12-07,17.50504,-0.02463,9
2018-12-10,17.41857,-0.00494,8
2018-12-11,17.16878,-0.01434,8
2018-12-12,17.49543,0.01903,8
2018-12-13,17.38975,-0.00604,10
2018-12-14,16.96701,-0.02431,8
2018-12-17,16.60193,-0.02152,16
2018-12-18,16.71721,0.00694,12
2018-12-19,16.50585,-0.01264,10
2018-12-20,16.19841,-0.01863,10
2018-12-21,15.74685,-0.02788,21
2018-12-24,15.4298,-0.02013,6
2018-12-26,16.12155,0.04483,6
2018-12-27,16.1888,0.00417,8
2018-12-28,16.30674,0.00729,13
2018-12-31,16.31649,0.0006,4
2019-01-02,16.39446,0.00478,9
2019-01-03,15.95585,-0.02675,15
2019-01-04,16.46269,0.03177,10
2019-01-07,16.73561,0.01658,8
2019-01-08,16.95979,0.0134,14
2019-01-09,17.20346,0.01437,11
2019-01-10,17.20346,0.0,8
2019-01-11,17.03777,-0.00963,11
2019-01-14,16.93055,-0.00629,17
2019-01-15,17.31068,0.02245,14
2019-01-16,17.45688,0.00845,11
2019-01-17,17.54461,0.00503,5
2019-01-18,17.93449,0.02222,17
2019-01-22,17.33992,-0.03315,13
2019-01-23,17.33992,0.0,10
2019-01-24,17.63233,0.01686,17
2019-01-25,18.04171,0.02322,11
2019-01-28,17.7298,-0.01729,9
2019-01-29,17.47638,-0.01429,12
2019-01-30,17.81753,0.01952,11
2019-01-31,17.99297,0.00985,20
2019-02-01,18.04171,0.00271,11
2019-02-04,18.20741,0.00918,11
2019-02-05,18.40235,0.01071,17
2019-02-06,18.44133,0.00212,16
2019-02-07,18.21715,-0.01216,9
2019-02-08,18.04171,-0.00963,14
2019-02-11,18.10994,0.00378,15
2019-02-12,18.74349,0.03498,10
2019-02-13,18.87995,0.00728,9
2019-02-14,18.82147,-0.0031,8
2019-02-15,19.13337,0.01657,14
2019-02-19,19.17236,0.00204,10
2019-02-20,19.30882,0.00712,10
2019-02-21,19.2016,-0.00555,13
2019-02-22,19.42578,0.01167,12
2019-02-25,19.61097,0.00953,14
2019-02-26,19.533,-0.00398,22
2019-02-27,19.33806,-0.00998,13
2019-02-28,19.02615,-0.01613,7
2019-03-01,19.26983,0.01281,18
2019-03-04,19.26008,-0.00051,14
2019-03-05,19.2016,-0.00304,21
2019-03-06,19.02615,-0.00914,15
2019-03-07,18.56804,-0.02408,16
2019-03-08,18.52419,-0.00236,14
2019-03-11,18.89944,0.02026,16
2019-03-12,19.08464,0.0098,10
2019-03-13,19.21135,0.00664,17
2019-03-14,19.08464,-0.0066,7
2019-03-15,19.25034,0.00868,7
2019-03-18,19.40629,0.0081,9
2019-03-19,19.49401,0.00452,9
2019-03-20,19.46477,-0.0015,15
2019-03-21,19.64022,0.00901,15
2019-03-22,19.26983,-0.01886,13
2019-03-25,19.27957,0.00051,8
2019-03-26,19.49401,0.01112,14
2019-03-27,19.31856,-0.009,21
2019-03-28,19.48426,0.00858,13
2019-03-29,19.57198,0.0045,17
2019-04-01,19.96187,0.01992,9
2019-04-02,20.08858,0.00635,13
2019-04-03,20.44922,0.01795,10
2019-04-04,20.49795,0.00238,14
2019-04-05,20.68314,0.00903,15
2019-04-08,20.6734,-0.00047,11
2019-04-09,20.59542,-0.00377,7
2019-04-10,20.75137,0.00757,17
2019-04-11,20.68314,-0.00329,15
